SYMBOL,2D 1,2D 2,2D 3,2D 4,2D 5,3D 1,3D 2,3D 3,3D 4,3D 5,InVivo 1,InVivo 2,InVivo 3,InVivo 4
NKAIN1,0.453535781,0.816105116,1.221889951,0.550364836,0.819934052,0.557745922,0.130886628,0.099838258,-0.196924745,0.138896906,-0.269049101,0.157402794,-0.02926495,0.022541458
NKAP,5.340255892,5.372756046,5.404586103,5.250986053,5.324152676,5.118470457,5.114421812,5.050474555,4.999970845,4.994210466,4.83593424,4.825400625,4.870984376,4.733028746
NKAPP1,0.209166053,0.310067751,0.789594016,0.220251998,0.251927743,0.953322523,0.746400265,0.622738531,0.806714691,0.873812766,0.818802127,0.912335126,0.590927372,0.647335237
NKD1,0.376588343,0.951791503,0.543851628,0.550364836,0.555672572,-0.695380237,-0.485978647,-1.185534279,-0.017740303,-0.194186917,-1.247392606,0.075782625,-0.600411423,0.138085
NKD2,1.818370216,1.834454353,2.021841519,1.517130047,1.809548065,0.646014657,0.746400265,0.807733379,1.114071897,0.727655457,1.9723206,2.205373548,2.141524167,2.271149518
NKIRAS1,3.642525,3.658746601,3.554041525,3.602563549,3.458198882,3.737793902,3.641403167,3.683182519,3.595314494,3.474329201,3.113157014,3.035732742,2.928998522,3.038247164
NKIRAS2,6.265862188,6.352849399,6.357361647,6.346046547,6.383919636,6.31293559,6.397456826,6.340806221,6.33547793,6.376735267,6.201635882,6.214690646,6.125838313,6.213627857
NKPD1,-0.768502793,-0.547593967,-0.884840132,-1.063290128,-0.698367592,0.853042543,0.399506832,0.33217525,0.048134091,0.988289237,-1.715725297,-0.90914498,-0.551208474,-0.562852221
NKRF,5.367023413,5.426746898,5.349647309,5.410612139,5.409648026,4.915900659,4.91989067,5.044347513,4.914250036,4.94426333,4.791006898,4.701622514,4.737516674,4.758080685
NKTR,5.0627558,4.816939838,4.74203658,5.019133717,5.058105394,5.587216892,5.554929887,5.596959105,5.737847869,5.879817231,6.778674953,6.59667755,6.930254412,6.826719634
NKX2-5,2.739847509,3.011370215,2.926248886,2.898176372,3.032739999,2.831588757,2.664183419,2.494681153,2.690716014,2.631313096,2.428538858,2.156583337,2.413479121,2.252038276
NKX2-8,0.14874365,0.650449181,0.502034086,0.550364836,0.402850849,-0.831811321,0.271439632,-0.382022562,-0.23559588,-0.37112831,-0.548106401,-0.679184934,-1.55973989,-0.392783479
NKX3-1,2.917850925,2.888210807,2.949771331,2.910202014,2.937032081,2.563461355,2.757973976,2.706089989,2.837652702,2.797543295,2.591118171,2.696652709,2.350144013,2.531046552
NLE1,5.660027634,5.704516288,5.719973326,5.576753457,5.756152811,5.048938942,5.184550572,5.112308824,5.26355841,5.137550193,5.136941575,5.102836034,5.343842569,5.137120709
NLGN2,5.640961748,5.508257455,5.498625956,5.459714396,5.61349346,5.486814884,5.41569664,5.280737939,5.346896083,5.580065127,5.381824041,5.492096253,5.355178051,5.568993043
NLGN3,0.428339904,0.310067751,0.142517789,0.204713041,0.555672572,1.546348039,1.190707212,1.087444298,1.52599562,1.270591307,2.144116533,2.166474275,2.419662352,2.206435506
NLGN4Y,3.059848448,3.029614092,3.040167247,3.251815088,3.06984938,3.283560717,3.223653783,3.279268936,3.258651282,3.372536213,2.985833108,2.923561705,3.081077837,2.860385101
NLK,5.39411691,5.360004356,5.353326709,5.429535237,5.290663302,5.457842279,5.388170208,5.337796383,5.33044377,5.473539263,5.450845392,5.441061426,5.470604138,5.485545294
NLN,7.314426682,7.304957598,7.295402599,7.340131093,7.260920286,6.357408893,6.43156591,6.537207351,6.586452075,6.508868445,6.586984597,6.461109552,6.501238463,6.639943492
NLRC5,2.279315813,2.378083426,2.374506166,2.335198327,2.491306955,2.846568311,3.141774287,3.258282166,3.169041047,3.185299014,3.484428787,3.273948076,3.642674622,3.386724429
NLRP2,6.700790404,6.67799775,6.742032921,6.69887761,6.788316374,6.23289519,6.425936771,6.27168254,6.30338253,6.415616653,6.400672976,6.461109552,6.429898112,6.424983886
